Id_aluno,Selecionado,Sexo,OrientacaoSexual,Idade,Raça-cor,Deficiência
12161,Sim,F,Bissexual,18,Amarela,Não possuo
6641,Sim,M,Homossexual,21,Parda,Não possuo
12628,Sim,M,Homossexual,20,Branca,Não possuo
8898,Sim,F,Heterossexual,19,Parda,Não possuo
4673,Não,M,Heterossexual,21,Branca,Não possuo
8850,Não,F,Bissexual,24,Parda,Não possuo
3984,Sim,F,Heterossexual,22,Parda,Não possuo
3642,Sim,F,Bissexual,23,Branca,Não possuo
12063,Sim,F,Outro,18,Branca,Não possuo
10181,Sim,F,Heterossexual,19,Branca,Não possuo
7115,Sim,F,Heterossexual,20,Parda,Não possuo
9962,Não,M,Heterossexual,18,Branca,Não possuo
4666,Sim,M,Homossexual,25,Preta,Não possuo
7639,Não,F,Heterossexual,19,Branca,Não possuo
8354,Não,F,Heterossexual,24,Branca,Não possuo
11644,Sim,M,Heterossexual,19,Branca,Não possuo
11250,Sim,F,Bissexual,21,Branca,Não possuo
12521,Sim,M,Bissexual,19,Branca,Não possuo
6073,Não,F,Heterossexual,19,Branca,Não possuo
1394,Sim,F,Prefiro não responder,23,Parda,Não possuo
5517,Não,F,Heterossexual,20,Branca,Não possuo
16968,Sim,M,Heterossexual,20,Não informada,Não possuo
1952,Sim,M,Heterossexual,27,Parda,Não possuo
8244,Não,F,Heterossexual,21,Branca,Não possuo
10126,Sim,F,Heterossexual,23,Branca,Não possuo
11025,Sim,F,Prefiro não responder,18,Preta,Não possuo
5700,Não,F,Bissexual,20,Branca,Não possuo
3230,Não,F,Heterossexual,22,Branca,Não possuo
4117,Sim,M,Bissexual,24,Preta,Não possuo
277,Sim,M,Heterossexual,20,Parda,Não possuo
13212,Sim,F,Heterossexual,21,Parda,Não possuo
4591,Sim,M,Heterossexual,23,Parda,Não possuo
1982,Não,F,Heterossexual,18,Branca,Não possuo
12629,Sim,F,Bissexual,18,Parda,Não possuo
3731,Sim,F,Heterossexual,24,Branca,Não possuo
6318,Sim,F,Heterossexual,20,Preta,Não possuo
2886,Sim,F,Bissexual,22,Branca,Não possuo
5654,Sim,F,Pansexual,24,Não informada,Não possuo
7229,Não,F,Pansexual,20,Parda,Não possuo
1052,Não,F,Bissexual,19,Parda,Não possuo
1700,Não,M,Bissexual,25,Branca,Não possuo
2479,Sim,F,Heterossexual,21,Preta,Não possuo
12474,Sim,F,Homossexual,19,Parda,Não possuo
3703,Sim,M,Heterossexual,22,Branca,Não possuo
768,Sim,F,Homossexual,35,Branca,Não possuo
9834,Não,F,Bissexual,22,Branca,Não possuo
11108,Não,F,Pansexual,19,Branca,Não possuo
9066,Não,F,Bissexual,21,Branca,Não possuo
10440,Sim,M,Heterossexual,18,Parda,Não possuo
12088,Sim,M,Bissexual,29,Branca,Não possuo
1252,Sim,F,Bissexual,28,Preta,Não possuo
452,Não,M,Heterossexual,25,Parda,Não possuo
2107,Sim,F,Heterossexual,34,Não informada,Não possuo
11126,Sim,F,Heterossexual,18,Parda,Não possuo
3198,Sim,F,Bissexual,23,Branca,Não possuo
10525,Sim,F,Heterossexual,19,Parda,Não possuo
9878,Não,M,Bissexual,21,Branca,Não possuo
2028,Não,M,Bissexual,18,Branca,Não possuo
6640,Sim,F,Bissexual,21,Parda,Não possuo
1546,Não,F,Bissexual,20,Preta,Não possuo
6286,Sim,M,Homossexual,22,Branca,Não possuo
1964,Sim,F,Bissexual,23,Branca,Não possuo
617,Sim,M,Heterossexual,26,Parda,Outro
10508,Não,M,Bissexual,23,Parda,Não possuo
366,Não,M,Heterossexual,19,Preta,Não possuo
3301,Sim,M,Bissexual,22,Branca,Não possuo
3136,Sim,F,Pansexual,21,Branca,Não possuo
12921,Sim,M,Homossexual,18,Branca,Não possuo
2098,Não,M,Bissexual,29,Parda,Não possuo
8121,Não,F,Heterossexual,21,Preta,Não possuo
3567,Não,F,Heterossexual,18,Parda,Não possuo
13104,Sim,M,Heterossexual,18,Parda,Não possuo
1033,Sim,M,Heterossexual,29,Branca,Não possuo
12061,Sim,F,Heterossexual,25,Branca,Não possuo
387,Não,F,Bissexual,27,Branca,Não possuo
9240,Sim,M,Homossexual,21,Preta,Não possuo
7221,Não,F,Bissexual,23,Branca,Não possuo
10813,Sim,M,Heterossexual,23,Branca,Não possuo
